,path,keyword,label
0,speech_commands/off/e32ff49d_nohash_0.wav,off,0
1,speech_commands/five/7c2a3fa4_nohash_0.wav,five,0
2,speech_commands/seven/5fadb538_nohash_1.wav,seven,0
3,speech_commands/dog/fac74f6a_nohash_0.wav,dog,0
4,speech_commands/bird/e7334395_nohash_0.wav,bird,0
5,speech_commands/go/c120e80e_nohash_5.wav,go,0
6,speech_commands/five/6dfff95a_nohash_0.wav,five,0
7,speech_commands/six/4e8c5516_nohash_1.wav,six,0
8,speech_commands/stop/918a2473_nohash_2.wav,stop,0
9,speech_commands/left/e8e960fd_nohash_1.wav,left,0
10,speech_commands/one/283d7a53_nohash_0.wav,one,0
11,speech_commands/marvin/f7b43563_nohash_0.wav,marvin,0
12,speech_commands/one/520e8c0e_nohash_1.wav,one,0
13,speech_commands/go/0b56bcfe_nohash_0.wav,go,0
14,speech_commands/go/caa4779f_nohash_1.wav,go,0
15,speech_commands/go/3983ba0d_nohash_1.wav,go,0
16,speech_commands/up/fd395b74_nohash_4.wav,up,0
17,speech_commands/on/257e17e0_nohash_2.wav,on,0
18,speech_commands/down/6c968bd9_nohash_4.wav,down,0
19,speech_commands/five/9e6bb505_nohash_0.wav,five,0
20,speech_commands/eight/1528225c_nohash_1.wav,eight,0
21,speech_commands/down/2c6d3924_nohash_0.wav,down,0
22,speech_commands/six/eb0676ec_nohash_2.wav,six,0
23,speech_commands/four/6078eb0d_nohash_1.wav,four,0
24,speech_commands/cat/f632210f_nohash_0.wav,cat,0
25,speech_commands/cat/d7a58714_nohash_1.wav,cat,0
26,speech_commands/seven/d7ca14ef_nohash_0.wav,seven,0
27,speech_commands/five/be7a5b2d_nohash_0.wav,five,0
28,speech_commands/stop/824e8ce5_nohash_1.wav,stop,0
29,speech_commands/up/3f170018_nohash_0.wav,up,0
30,speech_commands/eight/a3502f15_nohash_1.wav,eight,0
31,speech_commands/six/d486fb84_nohash_2.wav,six,0
32,speech_commands/seven/462e1919_nohash_2.wav,seven,0
33,speech_commands/nine/cc6ee39b_nohash_4.wav,nine,0
34,speech_commands/right/51eefcc6_nohash_2.wav,right,0
